job_id,benefit
1,Health insurance
1,401(k)
1,Unlimited PTO
2,Health insurance
2,401(k)
2,Unlimited PTO
3,Health insurance
3,401(k)
3,Unlimited PTO
4,Health insurance
4,401(k)
4,Unlimited PTO
5,Health insurance
5,401(k)
5,Unlimited PTO
6,Health insurance
6,401(k)
6,Unlimited PTO
7,Health insurance
7,401(k)
7,Unlimited PTO
8,Health insurance
8,401(k)
8,Unlimited PTO
9,Health insurance
9,401(k)
9,Unlimited PTO
10,Health insurance
10,401(k)
10,Unlimited PTO
11,Health insurance
11,401(k)
11,Unlimited PTO
12,Health insurance
12,401(k)
12,Unlimited PTO
13,Health insurance
13,401(k)
13,Unlimited PTO
14,Health insurance
14,401(k)
14,Unlimited PTO
15,Health insurance
15,401(k)
15,Unlimited PTO
16,Health insurance
16,401(k)
16,Unlimited PTO
17,Health insurance
17,401(k)
17,Unlimited PTO
18,Health insurance
18,401(k)
18,Unlimited PTO
19,Health insurance
19,401(k)
19,Unlimited PTO
20,Health insurance
20,401(k)
20,Unlimited PTO
21,Health insurance
21,401(k)
21,Unlimited PTO
22,Health insurance
22,401(k)
22,Unlimited PTO
23,Health insurance
23,401(k)
23,Unlimited PTO
24,Health insurance
24,401(k)
24,Unlimited PTO
25,Health insurance
25,401(k)
25,Unlimited PTO
26,Health insurance
26,401(k)
26,Unlimited PTO
27,Health insurance
27,401(k)
27,Unlimited PTO
28,Health insurance
28,401(k)
28,Unlimited PTO
29,Health insurance
29,401(k)
29,Unlimited PTO
30,Health insurance
30,401(k)
30,Unlimited PTO
31,Health insurance
31,401(k)
31,Unlimited PTO
32,Health insurance
32,401(k)
32,Unlimited PTO
33,Health insurance
33,401(k)
33,Unlimited PTO
34,Health insurance
34,401(k)
34,Unlimited PTO
35,Health insurance
35,401(k)
35,Unlimited PTO
36,Health insurance
36,401(k)
36,Unlimited PTO
37,Health insurance
37,401(k)
37,Unlimited PTO
38,Health insurance
38,401(k)
38,Unlimited PTO
39,Health insurance
39,401(k)
39,Unlimited PTO
40,Health insurance
40,401(k)
40,Unlimited PTO
41,Health insurance
41,401(k)
41,Unlimited PTO
42,Health insurance
42,401(k)
42,Unlimited PTO
43,Health insurance
43,401(k)
43,Unlimited PTO
44,Health insurance
44,401(k)
44,Unlimited PTO
45,Health insurance
45,401(k)
45,Unlimited PTO
46,Health insurance
46,401(k)
46,Unlimited PTO
47,Health insurance
47,401(k)
47,Unlimited PTO
48,Health insurance
48,401(k)
48,Unlimited PTO
49,Health insurance
49,401(k)
49,Unlimited PTO
50,Health insurance
50,401(k)
50,Unlimited PTO
51,Health insurance
51,PTO
51,Office Snacks
52,Pension match
52,Private healthcare
52,Annual bonus
52,Gym membership
53,Health/Dental/Vision
53,Equity
53,Daily lunch
53,Tech setup stipend
54,Home office setup reimbursement
54,Mental health support programs
54,Commuter benefits
54,Unlimited PTO
54,Visa sponsorship available
55,Visa sponsorship available
55,Gym membership discount
55,Stock options / Equity
55,Commuter benefits
55,Annual learning stipend
56,Home office setup reimbursement
56,Mental health support programs
56,401(k) retirement match
56,Free daily lunch
57,Free daily lunch
57,Mental health support programs
57,Medical insurance
57,Commuter benefits
57,Visa sponsorship available
58,Free daily lunch
58,Annual learning stipend
58,Visa sponsorship available
58,Commuter benefits
58,Dental & Vision insurance
59,Medical insurance
59,Visa sponsorship available
59,Commuter benefits
59,Free daily lunch
60,401(k) retirement match
60,Annual learning stipend
61,Mental health support programs
61,Free daily lunch
62,Annual learning stipend
62,Stock options / Equity
62,401(k) retirement match
62,Medical insurance
62,Free daily lunch
63,Free daily lunch
63,Medical insurance
63,Annual learning stipend
63,Unlimited PTO
63,Gym membership discount
64,Mental health support programs
64,Unlimited PTO
65,Unlimited PTO
65,Mental health support programs
65,401(k) retirement match
66,Stock options / Equity
66,401(k) retirement match
66,Gym membership discount
67,Medical insurance
67,Stock options / Equity
68,Visa sponsorship available
68,Annual learning stipend
68,401(k) retirement match
68,Unlimited PTO
69,Visa sponsorship available
69,401(k) retirement match
70,Home office setup reimbursement
70,Dental & Vision insurance
70,Mental health support programs
70,Unlimited PTO
70,Commuter benefits
71,Stock options / Equity
71,Dental & Vision insurance
71,Visa sponsorship available
71,Annual learning stipend
71,Gym membership discount
72,Free daily lunch
72,Visa sponsorship available
73,401(k) retirement match
73,Commuter benefits
73,Visa sponsorship available
73,Medical insurance
74,Medical insurance
74,Visa sponsorship available
74,Dental & Vision insurance
75,Visa sponsorship available
75,Commuter benefits
75,Unlimited PTO
75,Home office setup reimbursement
75,Gym membership discount
76,Dental & Vision insurance
76,Commuter benefits
