Job ID,Salary Range Original,currency,salary_min,salary_max,salary_avg
1,"$140,000 - $180,000",USD,140000,180000,160000
2,"$140,000 - $180,000",USD,140000,180000,160000
3,"$140,000 - $180,000",USD,140000,180000,160000
4,"$140,000 - $180,000",USD,140000,180000,160000
5,"$140,000 - $180,000",USD,140000,180000,160000
6,"$140,000 - $180,000",USD,140000,180000,160000
7,"$140,000 - $180,000",USD,140000,180000,160000
8,"$140,000 - $180,000",USD,140000,180000,160000
9,"$140,000 - $180,000",USD,140000,180000,160000
10,"$140,000 - $180,000",USD,140000,180000,160000
11,"$140,000 - $180,000",USD,140000,180000,160000
12,"$140,000 - $180,000",USD,140000,180000,160000
13,"$140,000 - $180,000",USD,140000,180000,160000
14,"$140,000 - $180,000",USD,140000,180000,160000
15,"$140,000 - $180,000",USD,140000,180000,160000
16,"$140,000 - $180,000",USD,140000,180000,160000
17,"$140,000 - $180,000",USD,140000,180000,160000
18,"$140,000 - $180,000",USD,140000,180000,160000
19,"$140,000 - $180,000",USD,140000,180000,160000
20,"$140,000 - $180,000",USD,140000,180000,160000
21,"$140,000 - $180,000",USD,140000,180000,160000
22,"$140,000 - $180,000",USD,140000,180000,160000
23,"$140,000 - $180,000",USD,140000,180000,160000
24,"$140,000 - $180,000",USD,140000,180000,160000
25,"$140,000 - $180,000",USD,140000,180000,160000
26,"$140,000 - $180,000",USD,140000,180000,160000
27,"$140,000 - $180,000",USD,140000,180000,160000
28,"$140,000 - $180,000",USD,140000,180000,160000
29,"$140,000 - $180,000",USD,140000,180000,160000
30,"$140,000 - $180,000",USD,140000,180000,160000
31,"$140,000 - $180,000",USD,140000,180000,160000
32,"$140,000 - $180,000",USD,140000,180000,160000
33,"$140,000 - $180,000",USD,140000,180000,160000
34,"$140,000 - $180,000",USD,140000,180000,160000
35,"$140,000 - $180,000",USD,140000,180000,160000
36,"$140,000 - $180,000",USD,140000,180000,160000
37,"$140,000 - $180,000",USD,140000,180000,160000
38,"$140,000 - $180,000",USD,140000,180000,160000
39,"$140,000 - $180,000",USD,140000,180000,160000
40,"$140,000 - $180,000",USD,140000,180000,160000
41,"$140,000 - $180,000",USD,140000,180000,160000
42,"$140,000 - $180,000",USD,140000,180000,160000
43,"$140,000 - $180,000",USD,140000,180000,160000
44,"$140,000 - $180,000",USD,140000,180000,160000
45,"$140,000 - $180,000",USD,140000,180000,160000
46,"$140,000 - $180,000",USD,140000,180000,160000
47,"$140,000 - $180,000",USD,140000,180000,160000
48,"$140,000 - $180,000",USD,140000,180000,160000
49,"$140,000 - $180,000",USD,140000,180000,160000
50,"$140,000 - $180,000",USD,140000,180000,160000
51,"$120,000 - $150,000",USD,120000,150000,135000
52,"£85,000 - £110,000",GBP,85000,110000,97500
53,"$150,000 - $200,000 + 1.0% Equity",USD,150000,200000,175000
54,C$109000 - C$133000,CAD,109000,133000,121000
55,"¥9,000 - ¥10,700",JPY,9000,10700,9850
56,€70000 - €77000,EUR,70000,77000,73500
57,₹17L - ₹29L,INR,1700000,2900000,2300000
58,€91000 - €116000,EUR,91000,116000,103500
59,S$68000 - S$89000,SGD,68000,89000,78500
60,S$103000 - S$115000,SGD,103000,115000,109000
61,A$99000 - A$110000,AUD,99000,110000,104500
62,$139000 - $156000,USD,139000,156000,147500
63,A$90000 - A$108000,AUD,90000,108000,99000
64,$135000 - $158000,USD,135000,158000,146500
65,£67000 - £85000,GBP,67000,85000,76000
66,S$145000 - S$175000,SGD,145000,175000,160000
67,A$130000 - A$166000,AUD,130000,166000,148000
68,$124000 - $143000,USD,124000,143000,133500
69,£68000 - £77000,GBP,68000,77000,72500
70,CHF 137000 - CHF 175000,CHF,137000,175000,156000
71,"¥15,200 - ¥19,500",JPY,15200,19500,17350
72,₹16L - ₹32L,INR,1600000,3200000,2400000
73,CHF 98000 - CHF 117000,CHF,98000,117000,107500
74,S$92000 - S$119000,SGD,92000,119000,105500
75,€80000 - €105000,EUR,80000,105000,92500
76,₹9L - ₹17L,INR,900000,1700000,1300000
77,S$102000 - S$124000,SGD,102000,124000,113000
78,£102000 - £133000,GBP,102000,133000,117500
79,A$90000 - A$114000,AUD,90000,114000,102000
80,CHF 150000 - CHF 178000,CHF,150000,178000,164000
81,€96000 - €115000,EUR,96000,115000,105500
82,₹16L - ₹19L,INR,1600000,1900000,1750000
83,A$93000 - A$116000,AUD,93000,116000,104500
84,C$70000 - C$91000,CAD,70000,91000,80500
85,C$75000 - C$96000,CAD,75000,96000,85500
86,£103000 - £138000,GBP,103000,138000,120500
87,A$135000 - A$170000,AUD,135000,170000,152500
88,$137000 - $164000,USD,137000,164000,150500
89,"¥13,300 - ¥15,700",JPY,13300,15700,14500
90,€103000 - €127000,EUR,103000,127000,115000
91,"¥6,600 - ¥8,200",JPY,6600,8200,7400
92,$217000 - $284000,USD,217000,284000,250500
93,S$144000 - S$161000,SGD,144000,161000,152500
94,$202000 - $268000,USD,202000,268000,235000
95,€75000 - €94000,EUR,75000,94000,84500
96,A$92000 - A$104000,AUD,92000,104000,98000
97,CHF 93000 - CHF 118000,CHF,93000,118000,105500
98,A$93000 - A$105000,AUD,93000,105000,99000
99,€75000 - €85000,EUR,75000,85000,80000
100,A$65000 - A$87000,AUD,65000,87000,76000
101,€92000 - €115000,EUR,92000,115000,103500
102,₹19L - ₹23L,INR,1900000,2300000,2100000
103,$218000 - $254000,USD,218000,254000,236000
104,A$96000 - A$126000,AUD,96000,126000,111000
105,€65000 - €82000,EUR,65000,82000,73500
106,C$142000 - C$181000,CAD,142000,181000,161500
107,₹17L - ₹34L,INR,1700000,3400000,2550000
108,A$150000 - A$188000,AUD,150000,188000,169000
109,S$95000 - S$112000,SGD,95000,112000,103500
110,₹31L - ₹47L,INR,3100000,4700000,3900000
111,A$95000 - A$115000,AUD,95000,115000,105000
112,A$130000 - A$156000,AUD,130000,156000,143000
113,A$136000 - A$153000,AUD,136000,153000,144500
114,₹15L - ₹23L,INR,1500000,2300000,1900000
115,€69000 - €80000,EUR,69000,80000,74500
116,€100000 - €115000,EUR,100000,115000,107500
117,₹40L - ₹51L,INR,4000000,5100000,4550000
118,$137000 - $165000,USD,137000,165000,151000
119,€150000 - €174000,EUR,150000,174000,162000
120,CHF 62000 - CHF 81000,CHF,62000,81000,71500
121,€67000 - €84000,EUR,67000,84000,75500
122,€115000 - €128000,EUR,115000,128000,121500
123,A$90000 - A$114000,AUD,90000,114000,102000
124,€74000 - €94000,EUR,74000,94000,84000
125,₹37L - ₹64L,INR,3700000,6400000,5050000
126,€151000 - €171000,EUR,151000,171000,161000
127,C$110000 - C$140000,CAD,110000,140000,125000
128,S$99000 - S$124000,SGD,99000,124000,111500
129,"¥10,100 - ¥12,100",JPY,10100,12100,11100
130,€94000 - €115000,EUR,94000,115000,104500
131,€63000 - €71000,EUR,63000,71000,67000
132,€90000 - €106000,EUR,90000,106000,98000
133,₹35L - ₹55L,INR,3500000,5500000,4500000
134,A$131000 - A$152000,AUD,131000,152000,141500
135,C$78000 - C$95000,CAD,78000,95000,86500
136,"¥7,000 - ¥8,200",JPY,7000,8200,7600
137,₹38L - ₹63L,INR,3800000,6300000,5050000
138,€93000 - €120000,EUR,93000,120000,106500
139,"¥10,200 - ¥12,700",JPY,10200,12700,11450
140,€115000 - €136000,EUR,115000,136000,125500
141,€103000 - €118000,EUR,103000,118000,110500
142,€66000 - €80000,EUR,66000,80000,73000
143,€130000 - €151000,EUR,130000,151000,140500
144,C$98000 - C$117000,CAD,98000,117000,107500
145,$91000 - $114000,USD,91000,114000,102500
146,A$96000 - A$122000,AUD,96000,122000,109000
