job_id,skill
1,PyTorch
1,Python
1,LLMs
1,Git
2,PyTorch
2,Python
2,LLMs
2,Git
3,PyTorch
3,Python
3,LLMs
3,Git
4,PyTorch
4,Python
4,LLMs
4,Git
5,PyTorch
5,Python
5,LLMs
5,Git
6,PyTorch
6,Python
6,LLMs
6,Git
7,PyTorch
7,Python
7,LLMs
7,Git
8,PyTorch
8,Python
8,LLMs
8,Git
9,PyTorch
9,Python
9,LLMs
9,Git
10,PyTorch
10,Python
10,LLMs
10,Git
11,PyTorch
11,Python
11,LLMs
11,Git
12,PyTorch
12,Python
12,LLMs
12,Git
13,PyTorch
13,Python
13,LLMs
13,Git
14,PyTorch
14,Python
14,LLMs
14,Git
15,PyTorch
15,Python
15,LLMs
15,Git
16,PyTorch
16,Python
16,LLMs
16,Git
17,PyTorch
17,Python
17,LLMs
17,Git
18,PyTorch
18,Python
18,LLMs
18,Git
19,PyTorch
19,Python
19,LLMs
19,Git
20,PyTorch
20,Python
20,LLMs
20,Git
21,PyTorch
21,Python
21,LLMs
21,Git
22,PyTorch
22,Python
22,LLMs
22,Git
23,PyTorch
23,Python
23,LLMs
23,Git
24,PyTorch
24,Python
24,LLMs
24,Git
25,PyTorch
25,Python
25,LLMs
25,Git
26,PyTorch
26,Python
26,LLMs
26,Git
27,PyTorch
27,Python
27,LLMs
27,Git
28,PyTorch
28,Python
28,LLMs
28,Git
29,PyTorch
29,Python
29,LLMs
29,Git
30,PyTorch
30,Python
30,LLMs
30,Git
31,PyTorch
31,Python
31,LLMs
31,Git
32,PyTorch
32,Python
32,LLMs
32,Git
33,PyTorch
33,Python
33,LLMs
33,Git
34,PyTorch
34,Python
34,LLMs
34,Git
35,PyTorch
35,Python
35,LLMs
35,Git
36,PyTorch
36,Python
36,LLMs
36,Git
37,PyTorch
37,Python
37,LLMs
37,Git
38,PyTorch
38,Python
38,LLMs
38,Git
39,PyTorch
39,Python
39,LLMs
39,Git
40,PyTorch
40,Python
40,LLMs
40,Git
41,PyTorch
41,Python
41,LLMs
41,Git
42,PyTorch
42,Python
42,LLMs
42,Git
43,PyTorch
43,Python
43,LLMs
43,Git
44,PyTorch
44,Python
44,LLMs
44,Git
45,PyTorch
45,Python
45,LLMs
45,Git
46,PyTorch
46,Python
46,LLMs
46,Git
47,PyTorch
47,Python
47,LLMs
47,Git
48,PyTorch
48,Python
48,LLMs
48,Git
49,PyTorch
49,Python
49,LLMs
49,Git
50,PyTorch
50,Python
50,LLMs
50,Git
51,OpenAI API
51,LangChain
51,Prompt Engineering
51,HTML/CSS
51,React
52,Hugging Face
52,BERT
52,Transformers
52,SQL
52,AWS
52,Information Extraction
53,Kubernetes
53,Docker
53,MLflow
53,AWS
53,Triton Inference Server
54,Pandas
54,OpenCV
54,OCR
54,Object Detection
54,Image Segmentation
54,PyTorch
54,YOLO
54,A/B Testing
54,Feature Engineering
54,ResNet
54,Image Processing
54,GANs
55,Fine-tuning
55,RAG (Retrieval-Augmented Generation)
55,LangChain
55,OpenAI API
55,Stable Diffusion
55,Prompt Engineering
55,Vector Databases
55,LlamaIndex
55,LLMs
55,Data Visualization
56,XGBoost
56,OCR
56,Supervised Learning
56,NumPy
56,Regression
56,Object Detection
56,Scikit-learn
56,PyTorch
56,Random Forest
56,Feature Engineering
56,LightGBM
56,Pandas
57,Fine-tuning
57,RAG (Retrieval-Augmented Generation)
57,LangChain
57,OpenAI API
57,Stable Diffusion
57,Kubernetes
57,Prompt Engineering
57,Vector Databases
57,LlamaIndex
57,LLMs
58,Backpropagation
58,GPT
58,NLTK
58,Tokenization
58,CI/CD
58,Spacy
58,Hugging Face
58,Transformers
58,Named Entity Recognition (NER)
58,Text Summarization
58,BERT
58,AWS SageMaker
59,Fine-tuning
59,RAG (Retrieval-Augmented Generation)
59,LangChain
59,OpenAI API
59,Stable Diffusion
59,OCR
59,Prompt Engineering
59,Hugging Face
59,Git
59,Vector Databases
59,LlamaIndex
59,LLMs
60,XGBoost
60,LangChain
60,Supervised Learning
60,NumPy
60,Regression
60,Model Monitoring
60,Scikit-learn
60,Random Forest
60,Kubeflow
60,Feature Engineering
60,LightGBM
60,Pandas
61,SQL
61,R-Studio
61,Statsmodels
61,YOLO
61,Matplotlib
61,Data Wrangling
61,A/B Testing
61,Seaborn
61,Terraform
61,Data Visualization
61,Pandas
62,JAX
62,Backpropagation
62,Keras
62,CNNs
62,GPT
62,NLTK
62,CUDA
62,PyTorch
62,Neural Networks
62,RNNs
62,TensorFlow
62,LLMs
62,TensorRT
63,XGBoost
63,Supervised Learning
63,NumPy
63,Regression
63,Scikit-learn
63,Random Forest
63,Feature Engineering
63,Image Processing
63,LightGBM
63,Pandas
64,XGBoost
64,Supervised Learning
64,NumPy
64,Regression
64,Scikit-learn
64,Random Forest
64,Feature Engineering
64,Kubernetes
64,LightGBM
64,Pandas
65,Fine-tuning
65,RAG (Retrieval-Augmented Generation)
65,Image Processing
65,LangChain
65,OpenAI API
65,Stable Diffusion
65,Prompt Engineering
65,Vector Databases
65,LlamaIndex
65,LLMs
65,AWS SageMaker
66,XGBoost
66,Supervised Learning
66,NumPy
66,Regression
66,Scikit-learn
66,Neural Networks
66,Random Forest
66,Feature Engineering
66,LightGBM
66,Pandas
67,JAX
67,Backpropagation
67,Keras
67,CNNs
67,OpenAI API
67,CUDA
67,PyTorch
67,Neural Networks
67,RNNs
67,Transformers
67,TensorFlow
67,TensorRT
68,XGBoost
68,R-Studio
68,Supervised Learning
68,NumPy
68,Regression
68,Scikit-learn
68,Spacy
68,Random Forest
68,Feature Engineering
68,LightGBM
68,Pandas
69,XGBoost
69,OCR
69,Supervised Learning
69,NumPy
69,Regression
69,Scikit-learn
69,PyTorch
69,Random Forest
69,Feature Engineering
69,Kubernetes
69,LightGBM
69,Pandas
70,XGBoost
70,Supervised Learning
70,NumPy
70,Regression
70,Scikit-learn
70,Random Forest
70,A/B Testing
70,Transformers
70,Feature Engineering
70,LightGBM
70,Pandas
71,XGBoost
71,Supervised Learning
71,NumPy
71,Regression
71,Scikit-learn
71,Random Forest
71,Transformers
71,Feature Engineering
71,LightGBM
71,Pandas
72,Backpropagation
72,SQL
72,R-Studio
72,OpenAI API
72,Statsmodels
72,Matplotlib
72,Data Wrangling
72,A/B Testing
72,BERT
72,Seaborn
72,Data Visualization
72,Pandas
73,OpenCV
73,OCR
73,Object Detection
73,Image Segmentation
73,PyTorch
73,YOLO
73,Feature Engineering
73,ResNet
73,Image Processing
73,Data Visualization
73,GANs
74,Fine-tuning
74,RAG (Retrieval-Augmented Generation)
74,LangChain
74,OpenAI API
74,Stable Diffusion
74,SQL
74,Docker
74,Prompt Engineering
74,Vector Databases
74,LlamaIndex
74,LLMs
75,Fine-tuning
75,RAG (Retrieval-Augmented Generation)
75,Backpropagation
75,LangChain
75,OpenAI API
75,Stable Diffusion
75,Prompt Engineering
75,Vector Databases
75,LlamaIndex
75,LLMs
76,Fine-tuning
76,RAG (Retrieval-Augmented Generation)
76,Image Processing
76,LangChain
76,OpenAI API
76,Stable Diffusion
76,Prompt Engineering
76,Vector Databases
76,LlamaIndex
76,LLMs
77,XGBoost
77,Docker
77,Triton Inference Server
77,CNNs
77,CI/CD
77,Model Monitoring
77,Kubeflow
77,MLflow
77,Git
77,Terraform
77,Kubernetes
77,AWS SageMaker
78,Fine-tuning
78,RAG (Retrieval-Augmented Generation)
78,LangChain
78,OpenAI API
78,Stable Diffusion
78,Prompt Engineering
78,Vector Databases
78,Seaborn
78,LlamaIndex
78,LLMs
78,Pandas
79,XGBoost
79,Supervised Learning
79,NumPy
79,Regression
79,Scikit-learn
79,Image Segmentation
79,Random Forest
79,BERT
79,Feature Engineering
79,LightGBM
79,Pandas
80,Docker
80,Triton Inference Server
80,OpenAI API
80,CI/CD
80,Model Monitoring
80,Neural Networks
80,Kubeflow
80,MLflow
80,Git
80,Data Wrangling
80,Terraform
80,Kubernetes
80,AWS SageMaker
81,Docker
81,Triton Inference Server
81,CI/CD
81,Model Monitoring
81,Kubeflow
81,MLflow
81,Git
81,Terraform
81,TensorFlow
81,Kubernetes
81,AWS SageMaker
82,XGBoost
82,Supervised Learning
82,NumPy
82,Regression
82,Scikit-learn
82,PyTorch
82,Random Forest
82,Vector Databases
82,TensorFlow
82,Feature Engineering
82,LightGBM
82,Pandas
83,Docker
83,Triton Inference Server
83,CI/CD
83,Model Monitoring
83,Kubeflow
83,MLflow
83,Git
83,Terraform
83,Kubernetes
83,AWS SageMaker
83,Pandas
84,XGBoost
84,Supervised Learning
84,NumPy
84,Regression
84,Scikit-learn
84,Random Forest
84,Hugging Face
84,Feature Engineering
84,LightGBM
84,Pandas
85,XGBoost
85,SQL
85,OCR
85,Supervised Learning
85,NumPy
85,Regression
85,Scikit-learn
85,Random Forest
85,Feature Engineering
85,LightGBM
85,Pandas
86,JAX
86,Backpropagation
86,Keras
86,CNNs
86,CUDA
86,PyTorch
86,Neural Networks
86,Scikit-learn
86,RNNs
86,TensorFlow
86,Seaborn
86,TensorRT
87,XGBoost
87,Supervised Learning
87,NumPy
87,Regression
87,Scikit-learn
87,Random Forest
87,Named Entity Recognition (NER)
87,Feature Engineering
87,LightGBM
87,Pandas
88,GPT
88,NLTK
88,Tokenization
88,Model Monitoring
88,Spacy
88,Hugging Face
88,Data Wrangling
88,Transformers
88,Named Entity Recognition (NER)
88,Text Summarization
88,BERT
89,JAX
89,Backpropagation
89,Keras
89,CNNs
89,CUDA
89,Tokenization
89,PyTorch
89,Neural Networks
89,RNNs
89,TensorFlow
89,TensorRT
90,XGBoost
90,Supervised Learning
90,NumPy
90,Regression
90,Scikit-learn
90,Random Forest
90,MLflow
90,Feature Engineering
90,Kubernetes
90,LightGBM
90,Pandas
91,XGBoost
91,Supervised Learning
91,NumPy
91,Regression
91,Scikit-learn
91,Random Forest
91,RNNs
91,Feature Engineering
91,Image Processing
91,LightGBM
91,Pandas
92,Pandas
92,OpenCV
92,OCR
92,Triton Inference Server
92,Object Detection
92,Image Segmentation
92,PyTorch
92,YOLO
92,A/B Testing
92,ResNet
92,Image Processing
92,GANs
93,XGBoost
93,Supervised Learning
93,NLTK
93,NumPy
93,Regression
93,Object Detection
93,Scikit-learn
93,Random Forest
93,Feature Engineering
93,LightGBM
93,Pandas
94,JAX
94,Backpropagation
94,Keras
94,CNNs
94,CUDA
94,PyTorch
94,Neural Networks
94,RNNs
94,Vector Databases
94,Text Summarization
94,TensorFlow
94,TensorRT
94,GANs
95,Fine-tuning
95,RAG (Retrieval-Augmented Generation)
95,LangChain
95,OpenAI API
95,Stable Diffusion
95,CI/CD
95,Prompt Engineering
95,Vector Databases
95,LlamaIndex
95,LLMs
96,Fine-tuning
96,RAG (Retrieval-Augmented Generation)
96,LangChain
96,OpenAI API
96,Stable Diffusion
96,PyTorch
96,Prompt Engineering
96,RNNs
96,MLflow
96,Vector Databases
96,LlamaIndex
96,LLMs
97,Fine-tuning
97,RAG (Retrieval-Augmented Generation)
97,LangChain
97,OpenAI API
97,Stable Diffusion
97,NumPy
97,CUDA
97,Prompt Engineering
97,Vector Databases
97,LlamaIndex
97,LLMs
98,XGBoost
98,Docker
98,Triton Inference Server
98,CI/CD
98,Model Monitoring
98,Kubeflow
98,MLflow
98,Git
98,Terraform
98,Kubernetes
98,AWS SageMaker
99,XGBoost
99,Supervised Learning
99,NumPy
99,Regression
99,Scikit-learn
99,Random Forest
99,Data Wrangling
99,Feature Engineering
99,LightGBM
99,AWS SageMaker
99,Pandas
100,Fine-tuning
100,RAG (Retrieval-Augmented Generation)
100,LangChain
100,OpenAI API
100,Stable Diffusion
100,Prompt Engineering
100,Vector Databases
100,LlamaIndex
100,LLMs
100,Random Forest
101,OpenCV
101,OCR
101,SQL
101,Object Detection
101,Image Segmentation
101,PyTorch
101,YOLO
101,Feature Engineering
101,ResNet
101,Image Processing
101,AWS SageMaker
101,GANs
102,Docker
102,Triton Inference Server
102,CI/CD
102,Model Monitoring
102,Scikit-learn
102,Kubeflow
102,MLflow
102,Git
102,Text Summarization
102,Terraform
102,Kubernetes
102,AWS SageMaker
102,GANs
103,XGBoost
103,Supervised Learning
103,NumPy
103,Regression
103,Scikit-learn
103,PyTorch
103,Random Forest
103,Feature Engineering
103,LightGBM
103,Pandas
104,Docker
104,Triton Inference Server
104,NLTK
104,CI/CD
104,Model Monitoring
104,Object Detection
104,Kubeflow
104,MLflow
104,Git
104,Terraform
